node,stability,mode_cluster
bedroom,0.635,7
feed,0.4475,0
deaf,0.4075,1
theoretically,0.3525,2
ecchymosis,0.3025,2
francisco,0.37,5
virtually,0.3575,5
bmis,0.2725,4
relation,0.2725,4
interaction,0.3625,4
español,0.145,5
bank,0.3575,5
resilience,0.3,4
pubme,0.52,6
campaign,0.3675,5
array,0.405,4
enhanced,0.3775,4
geme,0.5225,6
moderation,0.6725,7
sexuality,0.5225,6
annually,0.4425,8
metal,0.2675,2
interrelationship,0.265,4
unrelated,0.2625,3
calendar,0.2575,7
medial,0.35,0
lady,0.405,1
copper,0.6775,7
throttle,0.6775,7
chloride,0.3475,0
genitourinary,0.395,0
throat,0.395,0
manmade,0.4575,0
frederick,0.5225,6
cow,0.405,1
concertation,0.41,7
motility,0.2425,7
remind,0.4,1
vendor,0.3125,2
converting,0.465,0
nipple,0.465,0
kliegman,0.5225,6
hate,0.37,1
intuitively,0.405,1
consequently,0.455,0
subfertile,0.445,0
equilibrium,0.3325,3
oncology,0.2225,4
transplantation,0.2225,4
pruritus,0.33,3
strictly,0.37,5
cluster,0.3425,4
phrase,0.34,4
a&e,0.3025,0
hub,0.38,0
blum,0.5225,6
customer,0.34,2
overwhelmingly,0.3375,3
random,0.345,2
satisfied,0.345,2
zitti,0.395,1
winter,0.205,0
dense,0.6725,7
proportional,0.675,7
city,0.3175,5
dl.436,0.355,3
specify,0.3575,3
anaphylactic,0.355,2
anaphylaxis,0.3325,2
iodothyronine,0.3475,0
sarcopenia,0.3775,4
deposit,0.25,4
lightheadedness,0.2875,4
apigenin,0.6625,7
quercetin,0.4775,7
flavonoid,0.4775,7
hopeful,0.4025,1
tonsil,0.425,0
offset,0.405,1
toxic,0.4475,0
horizon,0.3925,1
surprise,0.385,0
suppository,0.33,3
alprostadil,0.33,3
worldwide,0.6575,7
metros,0.295,4
ashwagandha,0.6775,7
suck,0.3875,1
mill,0.4025,1
subpar,0.39,1
tri,0.3475,0
fish,0.6775,7
bacterial,0.4475,0
viral,0.4475,0
asmh,0.415,8
tongue,0.33,3
rage,0.39,0
beginning,0.285,7
cuff,0.2925,2
photo,0.38,1
chat,0.34,3
pricing,0.3425,3
pan,0.6775,7
sale,0.41,7
guilt,0.3775,4
hopelessness,0.3775,4
afterthought,0.3875,1
busy,0.4025,1
noninvasive,0.305,3
clarify,0.33,5
segue,0.405,1
conventional,0.38,4
underestimate,0.38,4
swap,0.6775,7
settle,0.3475,0
engineer,0.37,1
microsurgery,0.32,0
newsroom,0.385,0
transparency,0.38,0
map,0.385,0
capable,0.405,1
jack,0.405,1
honestly,0.405,1
objectively,0.405,1
myotonic,0.4475,0
dystrophy,0.4475,0
flag,0.39,1
belief,0.295,3
mistaken,0.265,4
abstract,0.305,6
rekindling,0.3825,4
canary,0.3525,4
coal,0.3525,4
collection,0.3025,4
sick,0.35,6
falsely,0.4,1
unavoidable,0.375,1
nourish,0.295,4
cultivate,0.295,4
maximal,0.33,3
men.438,0.32,2
proxy,0.3525,2
coughing,0.3175,2
assistive,0.33,3
sharpen,0.3775,4
specificity,0.295,3
bundle,0.3425,2
starter,0.345,2
aversa,0.525,6
ban,0.355,2
remote,0.335,2
remotely,0.3325,2
cyp3a4,0.46,0
confidently,0.2475,4
hesitation,0.2425,4
personalised,0.34,2
premium,0.3775,2
determinant,0.405,8
"described.446,447",0.32,3
rita,0.15,5
24emory,0.375,0
emory,0.37,0
kaminetsky,0.3325,2
months.447,0.35,2
sather,0.15,5
finder,0.38,0
karyotype,0.4475,0
calculator,0.315,4
overestimate,0.3175,4
flip,0.26,7
fortify,0.255,7
extensively,0.2025,0
peer,0.2825,6
partly,0.325,4
dan,0.3025,6
minutes.438,0.32,2
displacement,0.33,3
editor,0.3675,5
dissolve,0.33,3
adhere,0.33,3
al.446,0.3325,2
flatten,0.3775,4
cad,0.2725,4
death.64,0.3375,3
dyslipidemia,0.2775,0
adjusted).446,0.3175,3
altitude,0.27,1
effects:-,0.445,0
polycythaemia,0.38,0
registered,0.3725,4
exert,0.41,0
gerontology,0.37,5
surrounding,0.335,4
foretell,0.3525,4
nicolas,0.3575,4
adenomas,0.4475,0
craniopharyngioma,0.4475,0
girl,0.4525,0
menstruate,0.4575,0
hoop,0.3125,2
jump,0.335,0
joseph,0.365,5
interrelated,0.3725,4
lifesave,0.365,4
https://www.uptodate.com/contents/search,0.43,6
ache,0.375,4
stiffness,0.375,4
constipation,0.375,4
perseverance,0.33,3
1688%—a,0.3675,1
fold,0.3575,1
hypothalamicpituitary,0.4475,0
levels.6,0.3275,2
dinner,0.6775,7
discharge,0.45,0
milky,0.4475,0
metered,0.33,3
impairment,0.34,0
leproult,0.3725,5
rachel,0.3725,5
generous,0.275,5
wane,0.2775,3
angiography,0.3425,3
tag,0.2775,4
michelle,0.29,4
rapport,0.405,1
asynchronous,0.4025,1
diwan,0.24,5
linger,0.24,3
intelligence,0.23,9
"changes.5,16",0.3775,4
commences.2,0.34,3
"deficient,2",0.34,3
kovler,0.345,5
laugh,0.4025,1
christian,0.515,6
tea,0.6775,7
deserve,0.3125,5
crack,0.405,1
burns,0.305,5
terminally,0.3075,5
beach,0.275,5
generative,0.23,9
anomaly,0.2875,5
craniofacial,0.2875,5
mateusz,0.37,5
angry,0.245,0
outburst,0.2125,4
constitutional,0.4475,0
skeletal,0.4625,0
gary,0.41,5
ashkenazi,0.285,2
jews,0.285,2
immunology,0.3075,5
bulge,0.355,1
adipose,0.45,0
"tissue.44,45",0.45,0
transmittable,0.4625,0
uti,0.4625,0
misunderstood,0.3125,2
seldom,0.3125,3
budget,0.33,3
dryness,0.45,0
vaginal,0.45,0
outlook,0.39,0
prognosis,0.445,0
levothyroxine,0.4425,0
underactive,0.445,0
extremity,0.4525,0
temporarily,0.455,0
stone,0.35,4
blair,0.3425,5
oyetewa,0.3425,5
unexpected,0.305,9
systematically,0.3325,3
radiology,0.2275,4
compromise,0.3225,0
deprive,0.3225,0
sponge,0.315,1
sublingual,0.36,4
bloat,0.3925,0
script,0.35,1
kumar,0.4475,0
nursing,0.4475,0
holahan,0.37,5
tolerable,0.5925,7
embolism,0.46,0
lodge,0.46,0
uchicago,0.235,5
legume,0.6775,7
distressing,0.405,1
indoor,0.405,1
fatiguability,0.3275,4
randomization,0.3575,3
classify,0.4,0
"lh).5,6,12",0.4125,0
efficient,0.33,3
tremendously,0.34,3
pelvis,0.225,4
cited,0.3725,5
subclinical,0.4475,0
fellow,0.37,5
rhythmical,0.3025,3
gomez,0.375,4
satisfy,0.235,1
century,0.405,1
fountain,0.405,1
fenugreek,0.64,7
donor,0.3325,3
jury,0.4075,0
elixir,0.405,1
scopus,0.3475,3
vocabulary,0.3475,3
teenage,0.4525,0
dearborn,0.3025,5
detroit,0.3025,5
gastroenterology,0.285,5
"steroids.42,43",0.415,2
paternal,0.385,0
organic,0.385,0
prohibit,0.2275,9
dermatologist,0.3425,5
prophylactic,0.27,2
uncompromised,0.195,4
abundant,0.6075,7
cocoa,0.6775,7
czub,0.3725,5
venkataramany,0.3725,5
dish,0.6775,7
swallow,0.33,3
trail,0.33,3
learning,0.465,6
lure,0.405,1
triiodothyronine,0.4475,0
inexpensive,0.405,1
perth,0.3725,5
infographic,0.385,1
november,0.3875,1
hypo,0.4475,0
oversee,0.3475,3
legally,0.345,3
breakup,0.36,1
rough,0.345,4
study.29,0.3425,3
bail,0.405,1
hassle,0.405,1
freedom,0.335,3
prohibitively,0.32,3
nationwide,0.2625,0
vitaility,0.235,5
attitude,0.29,4
20s-30s,0.2225,1
hormones,0.265,4
physiologically,0.2975,1
reintroduction,0.3,2
ethnic,0.355,3
geographic,0.35,3
speculate,0.3625,5
susceptible,0.4625,0
prostatectomy,0.28,2
radical,0.2725,0
detach,0.33,3
swimming,0.33,3
akhil,0.245,3
employ,0.3375,5
eater,0.395,1
intuitive,0.365,1
vanity,0.405,1
nocturnal,0.305,4
endorphin,0.3475,0
genitalia,0.525,0
totally,0.405,1
antifungal,0.4425,0
thyrotropin,0.4475,0
inbody,0.34,2
ophthalmology,0.37,5
employee,0.4025,4
barat,0.365,5
thrilled,0.2875,5
emasculating,0.405,1
contributor,0.275,5
benchmark,0.3425,2
scanner,0.34,2
deteriorate,0.41,4
tour,0.3825,1
breakfast,0.6775,7
holy,0.405,1
undergraduate,0.365,5
unveil,0.365,5
data,0.445,0
ebb,0.4425,0
match,0.3325,3
nosebleed,0.33,3
bennett,0.3375,5
booming,0.405,1
rush,0.35,1
vigen,0.3425,3
inexperienced,0.325,3
infrequently,0.3275,3
zit,0.33,3
sears,0.405,1
singpiel,0.405,1
floor,0.37,5
tongkat,0.4725,7
september,0.3925,1
hepatitis,0.4,8
pome,0.335,2
doc,0.405,1
cheek,0.33,3
spouse,0.405,1
hopefully,0.395,1
olive,0.6775,7
committee,0.35,3
pgc,0.2875,3
organization,0.52,6
pack,0.33,3
nurse,0.3825,0
cochrane,0.3475,3
kilogram,0.405,1
siri,0.405,1
vasectomy,0.235,0
indexed,0.3475,3
ovid,0.3475,3
facebook,0.405,1
icon,0.405,1
republican,0.2875,5
acid,0.415,0
relaxed,0.285,0
ucla,0.3725,5
acerus,0.36,5
crash,0.405,1
artificial,0.23,9
intranasal,0.33,3
robertson,0.5175,6
adolescent,0.2975,5
narrow,0.3175,0
progression,0.3675,2
county,0.3425,0
pcv,0.375,2
embryo,0.27,1
garcia,0.2075,1
south,0.37,5
bound,0.36,0
magnesium,0.6775,7
kian,0.2725,5
usc,0.285,5
biotin,0.365,1
sulphate,0.3525,1
chocolate,0.6775,7
paladin,0.36,5
stimulus,0.525,6
salad,0.6775,7
bruising,0.33,3
lightheaded,0.33,3
surprised,0.405,1
nation,0.32,5
ncbi.nlm.nih.gov,0.525,6
avocado,0.6775,7
disruption,0.4475,0
flavor,0.6775,7
sauté,0.6775,7
officially,0.34,3
dessert,0.6775,7
jones,0.405,5
shop,0.405,1
town,0.405,1
neutral,0.3425,3
pmc,0.525,6
digestion,0.4625,0
temperature,0.4625,0
infiltrative,0.4475,0
keck,0.31,5
mary,0.3575,5
stevens,0.3625,4
force,0.265,1
mulhall,0.4975,6
trost,0.505,6
reviewer,0.15,5
fear,0.405,1
problematic,0.295,2
outpatient,0.3325,5
monocyte,0.325,0
neutrophil,0.325,0
lymphocyte,0.325,0
allicin,0.25,7
semaglutide,0.3925,0
tirzepatide,0.3825,0
student,0.365,5
property,0.2775,0
basophil,0.325,0
striant,0.33,3
eosinophil,0.325,0
explanation,0.32,4
healthful,0.2875,4
complain,0.3875,0
notion,0.235,5
covid,0.4025,8
vaccine,0.3975,8
surveillance,0.3375,3
perimenopause,0.385,0
neck,0.4475,0
mobility,0.335,0
unaddresse,0.465,0
york,0.3425,5
selenium,0.6775,7
display,0.1975,4
trt.â,0.275,4
assistance,0.365,0
inquiry,0.3,3
rice,0.6775,7
bread,0.6775,7
peter,0.52,6
joke,0.4025,1
cloudy,0.3475,4
law,0.405,1
march,0.5225,6
clotting,0.455,0
thicken,0.465,0
confirmation,0.3375,3
counterintuitive,0.2875,0
traish,0.5225,6
statin,0.275,8
aspirin,0.305,8
ankle,0.465,0
fortunately,0.2925,2
zitzmann,0.5225,6
profound,0.3775,2
continuously,0.3325,3
messy,0.33,3
15nmol,0.3,2
legitimate,0.375,0
sustanon,0.33,3
auchus,0.5225,6
ronald,0.5225,6
metabolite,0.435,0
equivocal,0.3425,2
kopp,0.5225,6
rosen,0.5225,6
dialysis,0.33,3
lay,0.405,1
promptly,0.32,4
lunch,0.6775,7
metab,0.525,6
confound,0.3475,2
goldfine,0.5225,6
art,0.37,5
august,0.525,6
october,0.525,6
opin,0.525,6
damaging,0.34,4
eur,0.525,6
nut,0.6775,7
output,0.4425,0
unsatisfactory,0.4425,0
hydroxylase,0.4475,0
partial,0.4475,0
availability,0.365,3
outpace,0.2075,0
window,0.315,3
agreement,0.3625,2
edge,0.335,2
suitability,0.3125,3
bidirectional,0.4475,0
mechanistically,0.45,0
aromatization,0.4525,0
worthwhile,0.3,4
consent,0.2575,2
bean,0.6775,7
automatically,0.3525,1
unlock,0.295,4
intact,0.2675,1
permanently,0.2725,1
lipoderm,0.33,3
fig,0.4475,0
pulsatile,0.4475,0
familiar,0.4,1
urination,0.465,0
contrary,0.225,7
isolate,0.4475,0
merkle,0.4475,0
disciplinary,0.3675,5
urmc,0.365,5
span,0.525,6
dental,0.2575,4
supraphysiological,0.455,0
wire,0.3075,1
impaired,0.4475,0
infer,0.445,0
ed).52,0.3475,3
phosphodiesterase,0.31,3
voiding,0.3025,4
resolution,0.4225,6
altogether,0.1725,4
complimentary,0.39,2
frame,0.245,3
preferred,0.3225,3
wonderful,0.27,5
manifestation,0.355,3
dna,0.4425,8
excessively,0.2875,1
bespoke,0.3225,2
control=,0.295,2
textbook,0.5225,6
confusing,0.31,4
mellitus,0.4525,0
threaten,0.3175,3
nebido,0.33,3
boil,0.24,7
blockage,0.28,3
viscosity,0.33,3
thromboembolic,0.2825,0
upset,0.4625,0
glycemic,0.35,3
azoospermia,0.4575,0
venesection,0.3525,1
interpreter,0.385,0
valet,0.385,0
membership,0.325,4
global,0.3125,0
quizby,0.37,0
copyright,0.37,5
vial,0.33,3
cushe,0.4475,0
hyperprolactinemia,0.4475,0
overload,0.4475,0
priority,0.3025,4
cortex,0.4525,0
sep,0.5125,6
testament,0.385,2
commission,0.38,2
founder,0.375,2
hypopituitarism,0.4475,0
sport,0.3,1
breadcrumb,0.3825,0
mychart,0.3775,0
variance,0.35,3
expand,0.3725,0
asian,0.525,6
pace,0.405,1
polypharmacy,0.3775,0
awkward,0.39,1
classmate,0.48,0
ferritin,0.3475,0
assure,0.29,2
lover,0.375,1
notable,0.3375,2
orchitis,0.4475,0
customise,0.32,2
utilise,0.355,0
diverse,0.3425,3
trade,0.3225,3
fibrous,0.325,0
60s,0.3625,3
idiopathic,0.33,3
med,0.51,6
blue,0.3775,4
sad,0.3775,4
halting,0.2925,1
anorchia,0.4475,0
navigation,0.385,0
retina,0.445,0
avenue,0.37,5
gutter,0.4025,1
inspire,0.27,5
traction,0.3375,3
carb,0.6775,7
devastating,0.375,4
cocaine,0.4475,0
impairs,0.4475,0
reporting,0.34,3
mindset,0.29,4
bupki,0.405,1
brannigan,0.5075,6
amend,0.4025,1
cry,0.405,1
movie,0.405,1
upside,0.3675,4
parasympathetic,0.305,4
memorial,0.37,5
quiet,0.4075,1
silent,0.3875,0
inter,0.37,2
kyzatrex,0.33,3
conaway,0.38,5
springfield,0.38,5
brenda,0.38,5
bodybuilder,0.45,0
breathe,0.41,0
intermittently,0.41,0
oxidative,0.47,7
salivary,0.5375,7
alternatively,0.3175,2
omega-3,0.255,3
sized,0.295,2
dugdale,0.38,5
likewise,0.4025,2
flight,0.3025,4
homeostasis,0.3175,3
epic,0.405,1
favorite,0.405,1
https://my.clevelandclinic.org/health/articles/24101-testosterone,0.4875,6
inhibitory,0.46,0
apparently,0.405,1
bullet,0.405,1
favorable,0.35,3
suspicion,0.445,0
inaccurate,0.365,2
medicate,0.275,3
portion,0.6775,7
teach,0.4,1
cellular,0.5225,6
cascade,0.4525,0
expected,0.4575,0
situate,0.4375,0
indirect,0.265,4
interconnect,0.37,4
sodium,0.32,0
unmask,0.4425,0
apnoea,0.43,0
wary,0.6775,7
erroremail,0.24,0
errorinclude,0.24,0
preview,0.24,0
existing,0.34,3
irrespective,0.3125,3
undeconate,0.33,3
frog,0.4025,1
athletic,0.655,7
san,0.37,5
holiday,0.3425,1
jordan,0.405,1
nutritionist,0.405,1
tuberculosis,0.385,8
clan,0.405,1
imply,0.405,1
varied,0.35,3
debunk,0.3425,1
erythema,0.33,3
elect,0.3175,3
committed,0.2375,5
innovate,0.2875,5
dampen,0.41,0
loose,0.46,0
faculty,0.3375,1
meeting,0.2325,3
outer,0.33,3
emotionally,0.3675,0
alex,0.405,1
incomplete,0.4625,0
labcorp,0.49,6
honoraria,0.36,5
sickle,0.4475,0
thalassemia,0.4475,0
symptomatically,0.3375,3
chart,0.3875,1
native,0.405,1
groin,0.4475,0
hernia,0.4475,0
denote,0.325,0
required,0.325,0
crystallised,0.6675,7
needless,0.33,3
shallow,0.33,3
arterial,0.3725,4
penetrate,0.33,3
pharmacist,0.33,3
massachusetts,0.3975,6
drag,0.405,1
merschel,0.2925,4
michael,0.3575,5
absorbable,0.33,3
depot,0.33,3
excerpt,0.39,2
preferably,0.315,2
axilla,0.33,3
protective,0.525,6
modifiable,0.3875,1
miniaturization,0.46,0
visible,0.4625,0
genetically,0.45,0
differential,0.35,3
subjective,0.345,3
"td5,7",0.3125,3
regenerate,0.28,4
explanatory,0.4425,0
cease,0.445,0
hump,0.405,1
parallel,0.405,1
raloxifene,0.41,0
prediabete,0.295,2
comorbiditie,0.325,2
concomitant,0.2775,2
changeable,0.3375,4
overcome,0.2825,2
orally,0.3325,3
palatable,0.33,3
correspond,0.34,4
academy,0.52,6
odd,0.3425,3
measured,0.32,3
inquire,0.355,4
productsprp,0.31,4
promising,0.31,4
dramatically,0.3425,3
inconsistence,0.35,3
testosterone.you,0.46,0
afternoon,0.28,3
don’t,0.4075,1
silence,0.4,1
emphasize,0.205,3
clothing,0.33,3
"men.29,32",0.3425,3
doi:10.7326,0.52,6
m19,0.52,6
allegiance,0.385,3
exacerbate,0.345,0
sebaceous,0.3275,0
accomplish,0.405,1
halfway,0.405,1
expertly,0.3375,3
startedpatient,0.3375,3
collaborate,0.5175,7
contributing,0.29,4
dot,0.2525,1
coach,0.365,0
fiber,0.6775,7
androstenedione,0.4475,0
dheas,0.4475,0
debilitate,0.38,4
evolutionary,0.3725,4
penetration,0.33,3
abbvie,0.36,5
clitoris,0.4575,0
consultant,0.36,5
prick,0.33,3
throb,0.33,3
annal,0.52,6
fraction,0.33,3
unused,0.33,3
histiocytosis,0.4475,0
brief,0.3375,3
physique,0.3725,4
communicate,0.3575,1
identification,0.3225,2
improvement.297,0.345,3
yield,0.345,3
beneath,0.2775,2
political,0.2475,5
iief,0.36,3
meaningful,0.2925,3
pillar,0.28,4
multidisciplinary,0.31,3
quest,0.3825,2
pint,0.325,3
remarkable,0.31,5
north,0.37,5
gonadotrophin,0.4475,0
letter,0.295,2
zone,0.3875,1
understandably,0.4575,0
endo,0.36,5
mislead,0.405,1
overlook,0.3775,4
elimination,0.4125,0
mode,0.3025,4
acceptable,0.405,1
regime,0.3025,3
transitory,0.3125,3
privacy,0.38,0
individualised,0.33,3
identifiable,0.4075,1
nodule,0.4475,0
m.s,0.5225,6
literally,0.405,1
troublesome,0.4625,0
anorexia,0.4475,0
sperate,0.32,2
orchiectomy,0.4475,0
contemporary,0.3525,3
spirit,0.4025,3
unavailable,0.32,3
sterile,0.385,1
triale,0.4,1
biomarker,0.3,2
genotype,0.245,2
vacuum,0.33,3
exclusion,0.3325,3
questionnairetestosterone,0.335,2
skewed,0.4425,7
geriatricians,0.3675,3
psychiatrist,0.3375,3
casual,0.4,1
code,0.2975,2
mask,0.33,0
emas,0.315,3
lcms,0.33,2
relaxing,0.355,3
tampa,0.355,3
spatial,0.525,6
verbal,0.32,4
analyte,0.3425,3
constitute,0.315,5
resemble,0.375,4
classification,0.3625,3
comprise,0.365,3
discouraged,0.285,3
unregulated,0.2425,3
urethra,0.3375,3
trick,0.425,1
misleading,0.3575,0
unhelpful,0.3525,0
multifactorial,0.2625,4
raisin,0.405,1
jointly,0.34,2
proportionally,0.3575,3
sciences,0.405,1
rrr,0.3425,3
chen,0.43,0
demographic,0.365,3
offspre,0.32,3
norm,0.2525,4
keyword,0.3475,3
intervene,0.365,1
reinforce,0.4275,4
seamless,0.3625,3
intratesticular,0.4525,0
contentment,0.325,4
opiate,0.4475,0
painkiller,0.4475,0
toxicity,0.33,3
anaemia,0.4575,0
citation,0.35,3
confused,0.405,1
secret,0.385,7
accidental,0.415,8
counselling,0.415,8
goodbye,0.19,1
psychologist,0.18,1
mhc,0.33,7
miller,0.4075,1
sydell,0.405,1
antagonist,0.4475,0
shave,0.405,1
wolf,0.4075,1
anterior,0.4475,0
prolactinoma,0.4475,0
pin,0.4025,1
reputable,0.355,2
naturopathic,0.405,1
medline,0.35,3
stream,0.31,9
nervosa,0.4475,0
powerful,0.31,9
urine,0.285,3
boom,0.405,1
jolt,0.3225,1
hopkins,0.365,4
obgyn,0.405,1
tuning,0.33,3
fatal,0.3425,3
mindful,0.2925,4
potent,0.29,0
corticosteroid,0.33,0
prednisolone,0.2975,2
"levels.5,6,12",0.34,3
ucsf,0.32,5
pronounced,0.335,0
energetic,0.3225,1
lustful,0.3175,1
component,0.46,7
incompletely,0.2525,1
overlap,0.275,4
arash,0.205,2
nayeri,0.2125,2
efficiency,0.27,4
prompt,0.4375,0
generalizability,0.34,3
weakening,0.3775,4
burnett,0.375,3
heighten,0.325,2
varying,0.3425,2
viable,0.355,3
stabilization,0.305,4
lining,0.33,3
endeavor,0.215,7
meantime,0.27,2
psychology,0.3325,5
buffer,0.455,0
glycoprotein,0.46,0
misdiagnose,0.35,3
explicitly,0.3325,3
magnitude,0.3425,3
certainty,0.3425,3
nomenclature,0.3425,3
spark,0.2775,3
stagnant,0.3425,3
lisa,0.365,5
arthritis,0.255,4
lesser,0.465,0
achievement,0.345,1
tertile,0.3475,3
means,0.29,4
sexy,0.3325,0
insufficiency,0.4475,0
turner,0.4475,0
decreased,0.3575,2
bell,0.41,0
kick,0.405,1
malnutrition,0.4475,0
mobile,0.36,0
serotonin,0.435,0
facsm,0.3425,5
ph.d,0.345,5
securely,0.3775,0
darn,0.405,1
massive,0.4525,0
thromboembolism,0.325,2
raw,0.4225,3
affiliation,0.2175,3
grumpy,0.3775,4
enjoyment,0.3775,4
moderately,0.3725,3
walking,0.3775,4
short-,0.33,3
trans,0.33,3
drinking,0.2975,0
substantially,0.355,0
acuity,0.3775,4
functioning,0.3725,4
michigan,0.355,5
cultural,0.2925,4
"potential.5,6,33,35,36",0.33,3
pdf,0.145,5
rochester,0.37,5
grant,0.36,5
cohort,0.355,3
prospective,0.34,3
spinach,0.6775,7
language,0.2225,9
arousal,0.39,4
domain,0.3775,4
inverse,0.365,2
west,0.355,5
discovery,0.2825,5
speaker,0.36,5
orgasm,0.385,4
ais,0.4425,0
urea,0.3475,0
poisoning,0.405,1
curious,0.405,1
survival,0.2375,4
successfully,0.2975,4
excrete,0.445,0
c2025,0.4925,6
https://my.clevelandclinic.org/health/diseases/24897-low-testosterone-in-woman,0.4925,6
hct,0.36,3
sensible,0.345,2
pregnancy,0.2225,4
quantitative,0.335,3
nissen,0.5225,6
officer,0.39,1
constant,0.37,1
ill,0.2675,5
intubation,0.3025,1
a.d.a.m,0.3675,5
gap,0.5225,6
management.4,0.3775,3
buildup,0.235,4
wash,0.33,3
snore,0.4575,0
trucker,0.405,1
chair,0.36,5
peptide,0.34,0
container,0.33,3
car,0.405,1
vein,0.33,3
ali,0.4,6
cotton,0.33,3
timely,0.345,4
trajectory,0.3675,4
fatigued,0.405,1
plastic,0.2225,0
party,0.2125,9
expectancy,0.2925,1
causation,0.35,3
hmg,0.4,1
substitute,0.29,3
disturb,0.3775,4
beware,0.4075,1
buyer,0.4075,1
client,0.3025,4
smooth,0.33,3
asempa,0.3425,5
tremendous,0.31,9
urol,0.5225,6
subcutaneously,0.33,3
band,0.3325,3
approval,0.33,3
compete,0.36,5
heat,0.6725,7
entirely,0.395,1
youthful,0.2575,1
readily,0.455,7
suicide,0.4025,1
emphasis,0.3275,4
influencer,0.3675,4
class,0.36,1
spread,0.33,3
tamoxifen,0.445,0
melme,0.5225,6
impression,0.405,1
layperson,0.405,1
selection,0.3075,3
hirsutism,0.455,0
williams,0.5225,6
throw,0.405,1
deem,0.4125,2
terrifying,0.405,1
vulnerable,0.405,1
funding,0.305,3
donation,0.42,2
fellowship,0.2275,4
exception,0.34,2
oppose,0.405,1
bariatric,0.4425,0
skull,0.4375,0
heterogeneity,0.34,3
generate,0.34,3
columbia,0.375,5
conservative,0.2875,4
musi,0.395,1
suite,0.37,5
rank,0.295,5
priapism,0.2525,3
embase,0.3475,3
prolong,0.3275,4
worsening,0.375,4
considerable,0.35,3
jama,0.2175,3
randomized,0.2575,3
mail,0.405,1
living,0.38,3
fibrillation,0.3025,2
peyronie,0.3325,3
waste,0.3225,1
duke,0.3325,3
dictate,0.395,1
doubt,0.39,1
androderm,0.33,3
edit,0.525,6
tailored,0.31,3
vancouver,0.375,5
spironolactone,0.4525,0
vast,0.405,1
ranges.13,0.34,3
spine,0.2275,4
respiratory,0.2275,4
comparable,0.36,0
mace,0.3425,3
formulate,0.325,3
fetus,0.4525,0
relevance,0.34,3
statistical,0.3425,3
maker,0.3425,3
preliminary,0.35,3
maturation,0.4475,0
actively,0.215,4
doorstep,0.305,3
undert,0.245,0
valuable,0.4975,7
heal,0.3075,4
mrcgp,0.27,5
hairy,0.4025,0
minimally,0.3325,3
calibrate,0.3175,2
willing,0.405,1
dip.fipt,0.2725,5
apr,0.525,6
supportive,0.3325,2
morgentaler,0.36,5
qol,0.3625,3
meaning,0.3175,3
standalone,0.405,1
realistic,0.3875,1
simplification,0.25,3
triple,0.34,3
q&a,0.3625,3
introduction,0.365,3
amalgamation,0.3425,3
significance,0.335,3
star,0.385,1
statistically,0.345,3
corona,0.5275,6
european,0.52,6
government,0.4375,2
reclaim,0.3175,5
"infertility.33,34",0.2375,2
survey,0.36,3
billboard,0.405,1
taper,0.3425,2
tapering,0.2725,3
phd,0.3425,5
responsibility,0.385,0
https://www.womenshealth.gov/a-z-topics/polycystic-ovary-syndrome,0.385,6
generation,0.3125,4
ton,0.4225,1
blunt,0.4575,0
model,0.23,9
globally,0.38,2
specialise,0.3775,2
carter,0.3625,0
precise,0.4625,0
pregnancy.34,0.4475,0
carrier,0.36,5
vardenafil,0.3325,3
staff,0.395,1
friendly,0.23,2
indication.1,0.3525,3
vision,0.3275,0
chromosomal,0.4475,0
similarly,0.4475,0
spectrum,0.2625,5
atrial,0.31,2
chain,0.4525,0
timed,0.33,3
plethora,0.41,1
seriously,0.4075,1
modern,0.325,0
wellbee,0.3775,4
activate,0.3225,3
submit,0.3825,1
manif,0.34,3
houston,0.3725,5
preventive,0.285,5
reversal,0.3475,0
immunoassay,0.345,3
hitter,0.405,1
sweet,0.405,1
lie,0.3675,4
inclusion,0.34,3
nelson,0.52,6
topically,0.33,3
ducharme,0.345,4
accordingly,0.3675,0
brings,0.2825,0
distinct,0.335,3
chicago,0.3525,5
broderick,0.3775,4
gregory,0.28,0
breath,0.365,4
breakout,0.1525,8
perceive,0.3025,4
somewhat,0.3275,4
shortness,0.365,4
"n=37,565",0.3375,3
indication,0.34,3
january,0.35,3
largely,0.3175,4
labeling,0.34,3
venous,0.3125,2
androgens,0.45,0
ground,0.31,5
react,0.36,0
foetus,0.4375,0
undescended,0.4475,0
aesthetic,0.32,4
undesirable,0.32,4
boston,0.36,5
ultimate,0.355,5
courtesy,0.145,5
advisable,0.1875,1
automatic,0.375,4
independence,0.375,4
masculinize,0.46,0
accredited,0.355,3
internationally,0.335,5
coordinate,0.3625,5
gmt+0000,0.3625,5
checkup,0.3825,0
delphi,0.36,3
principle,0.3275,3
cuban,0.3925,1
sarcoidosis,0.4475,0
query,0.2725,3
relax,0.2925,0
byproduct,0.3725,4
suboptimal,0.2525,2
absent,0.4475,0
haemochromatosis,0.4475,0
qaseem,0.425,6
oct,0.3625,5
affiliate,0.405,1
institution,0.405,1
thereafter.438,0.3325,3
studies.438,0.33,3
kit,0.315,2
bet,0.405,1
dripping,0.355,4
smell,0.4475,0
expansion,0.3525,4
internist,0.405,1
perfectly,0.405,1
quantify,0.345,3
airflow,0.2525,0
continuous,0.29,0
hang,0.405,1
machine,0.225,9
cpap,0.3025,0
liter,0.35,3
